family ID,family name,subfamily name,taxon range,Amborella trichopoda,Arabidopsis thaliana,Brachypodium distachyon,Brassica napus,Brassica rapa subsp. Pekinensis,Capsicum annuum,Chlamydomonas reinhardtii,Citrus sinensis,Cucumis sativus,Erythranthe guttata,Eucalyptus grandis,Glycine max,Gossypium hirsutum,Helianthus annuus,Hordeum vulgare subsp. vulgare,Juglans regia,Lactuca sativa,Manihot esculenta,Medicago truncatula,Musa acuminata subsp. malaccensis,Nelumbo nucifera,Nicotiana tabacum,Oryza sativa,Ostreococcus tauri,Phoenix dactylifera,Physcomitrella patens,Populus trichocarpa,Prunus persica,Ricinus communis,Selaginella moellendorffii,Setaria italica,Solanum lycopersicum,Solanum tuberosum,Sorghum bicolor,Spinacia oleracea,Theobroma cacao,Triticum aestivum,Vitis vinifera,Zea mays,Zostera marina,Caenorhabditis elegans,Danio rerio,Dictyostelium discoideum,Drosophila melanogaster,Escherichia coli,Homo sapiens,Mus musculus,Rattus norvegicus,Saccharomyces cerevisiae,Schizosaccharomyces pombe,GO terms (F),GO terms (P)
PTHR10160,NAD(P) TRANSHYDROGENASE,"PROTON-TRANSLOCATING NAD(P)(+) TRANSHYDROGENASE|ALADH_PNT_N DOMAIN-CONTAINING PROTEIN|NAD(P) TRANSHYDROGENASE, MITOCHONDRIAL|",LUCA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,1,0,0,NAD binding|NAD(P)+ transhydrogenase (AB-specific) activity|NAD(P)+ transhydrogenase activity|NADP binding|protein binding|protein dimerization activity,NADPH regeneration|cell redox homeostasis|cellular oxidant detoxification|negative regulation of apoptotic process|negative regulation of protein phosphorylation|oxygen homeostasis|positive regulation of hydrogen peroxide catabolic process|positive regulation of mitochondrial membrane potential|reactive oxygen species metabolic process|response to vitamin
PTHR10161,TARTRATE-RESISTANT ACID PHOSPHATASE TYPE 5,TARTRATE-RESISTANT ACID PHOSPHATASE TYPE 5|PURPLE ACID PHOSPHATASE|PURPLE ACID PHOSPHATASE 3|PURPLE ACID PHOSPHATASE 4|PURPLE ACID PHOSPHATASE 8|PURPLE ACID PHOSPHATASE 7|ACID PHOSPHATASE|METALLOPHOS DOMAIN-CONTAINING PROTEIN|,Viridiplantae,1,5,3,9,0,3,1,3,1,8,5,11,9,6,5,7,3,16,2,4,7,8,4,0,3,3,7,5,3,4,6,4,3,4,1,5,9,1,7,2,1,2,0,0,0,1,1,1,0,0,acid phosphatase activity|ferric iron binding|ferrous iron binding|hydrolase activity|phosphatase activity,bone morphogenesis|bone resorption|cellular phosphate ion homeostasis|defense response to Gram-positive bacterium|dephosphorylation|multicellular organismal response to stress|negative regulation of cell adhesion|negative regulation of inflammatory response|negative regulation of interleukin-1 beta production|negative regulation of interleukin-12 production|negative regulation of nitric oxide biosynthetic process|negative regulation of superoxide anion generation|negative regulation of tumor necrosis factor production|ossification|osteoclast differentiation|positive regulation of cell migration|response to L-ascorbic acid|response to cholesterol|response to cytokine|response to hydrogen peroxide|response to lipopolysaccharide|response to mechanical stimulus|response to organic cyclic compound|response to zinc ion
PTHR10165,LIPID PHOSPHATE PHOSPHATASE,ACIDPPC DOMAIN-CONTAINING PROTEIN|ACIDPPC DOMAIN-CONTAINING PROTEIN-RELATED|PHOSPHOLIPID PHOSPHATASE 3|PHOSPHOLIPID PHOSPHATASE 2|PHOSPHOLIPID PHOSPHATASE 1|PHOSPHOLIPID PHOSPHATASE HOMOLOG 1.2 HOMOLOG|PHOSPHOLIPID PHOSPHATASE-RELATED PROTEIN TYPE 1|PHOSPHOLIPID PHOSPHATASE-RELATED PROTEIN TYPE 4|PHOSPHOLIPID PHOSPHATASE-RELATED PROTEIN TYPE 3|PHOSPHOLIPID PHOSPHATASE-RELATED PROTEIN TYPE 2|PHOSPHOLIPID PHOSPHATASE-RELATED PROTEIN TYPE 5|PHOSPHOLIPID PHOSPHATASE 4|PHOSPHOLIPID PHOSPHATASE 5|LIPID PHOSPHATE PHOSPHATASE 1|PA-PHOSPHATASE RELATED-FAMILY PROTEIN DDB_G0271516-RELATED|LIPID PHOSPHATE PHOSPHATASE 2|OS01G0666000 PROTEIN|LIPID PHOSPHATE PHOSPHATASE 4-RELATED|,Eukaryota,1,4,6,8,0,5,3,4,2,7,8,8,8,6,7,5,7,5,5,8,5,8,7,1,6,6,5,4,4,6,13,6,7,8,2,4,22,5,7,1,4,18,3,8,0,10,10,10,2,1,ceramide-1-phosphate phosphatase activity|diacylglycerol diphosphate phosphatase activity|identical protein binding|integrin binding|lipid phosphatase activity|lipid transporter activity|lysophosphatidic acid phosphatase activity|phosphatase activity|phosphatidate phosphatase activity|protein binding|sphingosine-1-phosphate phosphatase activity,"Bergmann glial cell differentiation|abscisic acid-activated signaling pathway|axonogenesis|blastocyst hatching|blood vessel development|canonical Wnt signaling pathway|canonical Wnt signaling pathway involved in positive regulation of cell-cell adhesion|canonical Wnt signaling pathway involved in positive regulation of endothelial cell migration|canonical Wnt signaling pathway involved in positive regulation of wound healing|cell adhesion|cell-cell adhesion|cell-cell adhesion mediated by integrin|ceramide metabolic process|gastrulation with mouth forming second|germ cell development|germ cell migration|germ cell repulsion|homotypic cell-cell adhesion|inner ear development|integrin-mediated signaling pathway|negative regulation of protein phosphorylation|nervous system development|open tracheal system development|phospholipid dephosphorylation|phospholipid metabolic process|phototransduction|pole cell development|pole cell migration|positive regulation of DNA-binding transcription factor activity|positive regulation of filopodium assembly|positive regulation of neuron projection development|positive regulation of peptidyl-tyrosine phosphorylation|protein stabilization|regulation of Wnt signaling pathway|regulation of calcium ion import|regulation of cell cycle G1/S phase transition|regulation of sphingolipid mediated signaling pathway|response to UV-B|response to light intensity|retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum|septate junction assembly|signal transduction|sphingosine metabolic process|thermotaxis"
PTHR10166,VOLTAGE-DEPENDENT CALCIUM CHANNEL SUBUNIT ALPHA-2/DELTA-RELATED,VWFA DOMAIN-CONTAINING PROTEIN|CONSERVED OLIGOMERIC GOLGI COMPLEX SUBUNIT 5|VOLTAGE-DEPENDENT CALCIUM CHANNEL SUBUNIT ALPHA-2/DELTA-2|VOLTAGE-DEPENDENT CALCIUM CHANNEL SUBUNIT ALPHA-2/DELTA-1|VOLTAGE-DEPENDENT CALCIUM CHANNEL SUBUNIT ALPHA-2/DELTA-3|VOLTAGE-DEPENDENT CALCIUM CHANNEL SUBUNIT ALPHA-2/DELTA-4|VOLTAGE-DEPENDENT CALCIUM CHANNEL UNC-36|VWFA AND CACHE DOMAIN-CONTAINING PROTEIN 1|,LUCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,10,0,4,1,5,5,5,0,0,calcium channel regulator activity|protein binding|voltage-gated calcium channel activity,autophagosome maturation|bulk synaptic vesicle endocytosis|calcium ion transmembrane transport|calcium ion transmembrane transport via high voltage-gated calcium channel|calcium ion transport|calcium ion transport into cytosol|cardiac muscle cell action potential involved in contraction|cellular response to amyloid-beta|cellular response to insulin-like growth factor stimulus|detection of light stimulus involved in visual perception|detection of temperature stimulus involved in sensory perception of pain|locomotion|membrane depolarization during bundle of His cell action potential|muscle fiber development|negative regulation of synaptic growth at neuromuscular junction|neuromuscular junction development|neuromuscular synaptic transmission|oviposition|pharyngeal pumping|positive regulation of high voltage-gated calcium channel activity|positive regulation of locomotion|positive regulation of organ growth|positive regulation of voltage-gated calcium channel activity|protein localization to synapse|regulation of calcium ion transmembrane transport via high voltage-gated calcium channel|regulation of calcium ion transport|regulation of heart contraction|regulation of heart rate by cardiac conduction|regulation of membrane repolarization during action potential|regulation of multicellular organism growth|regulation of ventricular cardiac muscle cell membrane repolarization|retinal cone cell development|rhythmic synaptic transmission|serotonin receptor signaling pathway
PTHR10168,GLUTAREDOXIN,GLUTAREDOXIN DOMAIN-CONTAINING PROTEIN|GLUTAREDOXIN-C9|MONOTHIOL GLUTAREDOXIN-S9|MONOTHIOL GLUTAREDOXIN-S5|MONOTHIOL GLUTAREDOXIN-S13|GLUTAREDOXIN-C6|MONOTHIOL GLUTAREDOXIN-S2|GLUTAREDOXIN-C10|MONOTHIOL GLUTAREDOXIN-S10|MONOTHIOL GLUTAREDOXIN-S11|GLUTAREDOXIN-C14|GLUTAREDOXIN-C13|GLUTAREDOXIN-C14-RELATED|GLUTAREDOXIN-C15|GLUTAREDOXIN-C2-RELATED|GLUTAREDOXIN-C1|MONOTHIOL GLUTAREDOXIN-S6|MONOTHIOL GLUTAREDOXIN-S1|MONOTHIOL GLUTAREDOXIN-S4-RELATED|MONOTHIOL GLUTAREDOXIN-S3-RELATED|GLUTAREDOXIN-C12-RELATED|GLUTAREDOXIN-C11|GLUTAREDOXIN-C7|GLUTAREDOXIN-C8|,Embryophyta,8,21,16,47,0,47,0,12,16,18,18,40,40,41,26,23,31,19,24,25,21,53,17,0,15,2,26,12,12,5,22,33,37,18,17,12,83,12,20,12,0,0,0,0,0,0,0,0,0,0,acylglycerol lipase activity|phospholipase activity|protein binding,"anther development|cellular response to nitrogen starvation|defense response to fungus|jasmonic acid mediated signaling pathway|negative regulation of transcription by RNA polymerase II|negative regulation of transcription, DNA-templated|petal development|petal formation|response to cytokinin|response to photooxidative stress|response to salicylic acid|salicylic acid mediated signaling pathway|stamen morphogenesis"
PTHR10169,DNA TOPOISOMERASE/GYRASE,"DNA TOPOISOMERASE 2|DNA TOPOISOMERASE 2-BETA|DNA TOPOISOMERASE 2-ALPHA|DNA TOPOISOMERASE 2 TOP-2-RELATED|DNA TOPOISOMERASE 2, MITOCHONDRIAL|",Eukaryota,1,1,3,3,0,1,1,2,1,1,2,3,1,2,1,1,4,1,7,2,3,2,2,1,5,2,2,2,2,3,4,1,1,2,2,1,15,1,3,1,3,2,2,1,0,2,2,1,1,1,"ATP binding|DNA binding|DNA binding, bending|DNA topoisomerase activity|DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity|DNA-dependent ATPase activity|chromatin binding|enzyme binding|four-way junction DNA binding|histone deacetylase binding|mRNA binding|magnesium ion binding|protein C-terminus binding|protein binding|protein heterodimerization activity|protein homodimerization activity|protein kinase C binding|rDNA binding|satellite DNA binding|sequence-specific DNA binding|ubiquitin binding",DNA ligation|DNA strand elongation involved in DNA replication|DNA topological change|aging|animal organ regeneration|apoptotic chromosome condensation|axon target recognition|axonogenesis|brain development|cellular response to DNA damage stimulus|cerebellar Purkinje cell differentiation|cerebellar granule cell differentiation|chromatin assembly or disassembly|chromatin organization|chromatin remodeling at centromere|chromatin silencing|chromosome condensation|chromosome segregation|embryonic cleavage|female meiotic nuclear division|forebrain development|gene looping|hematopoietic progenitor cell differentiation|male meiosis chromosome segregation|metaphase plate congression|mitotic DNA integrity checkpoint|mitotic chromosome condensation|mitotic sister chromatid segregation|mitotic sister chromatid separation|negative regulation of DNA duplex unwinding|neuron migration|positive regulation of apoptotic process|positive regulation of single stranded viral RNA replication via double stranded DNA intermediate|positive regulation of transcription by RNA polymerase II|rRNA transcription|reciprocal meiotic recombination|regulation of circadian rhythm|regulation of mitotic recombination|replication fork progression beyond termination site|resolution of meiotic recombination intermediates|response to drug|response to ionizing radiation|response to parathyroid hormone|retina layer formation|retinal ganglion cell axon guidance|sister chromatid segregation
PTHR10173,METHIONINE SULFOXIDE REDUCTASE,"METHIONINE-R-SULFOXIDE REDUCTASE B1|PEPTIDE-METHIONINE (R)-S-OXIDE REDUCTASE|METHIONINE-R-SULFOXIDE REDUCTASE B2, MITOCHONDRIAL|METHIONINE-R-SULFOXIDE REDUCTASE B3|PEPTIDE METHIONINE SULFOXIDE REDUCTASE MSRB|",LUCA,0,1,1,2,0,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,0,1,1,2,2,2,0,0,actin binding|iron ion binding|peptide-methionine (R)-S-oxide reductase activity|protein binding|zinc ion binding,actin filament organization|actin filament polymerization|axon guidance|chaeta morphogenesis|inner ear development|protein repair|response to oxidative stress|skeletal muscle thin filament assembly
PTHR10174,ALPHA-TOCOPHEROL TRANSFER PROTEIN-RELATED,PH DOMAIN-CONTAINING PROTEIN|CRAL-TRIO DOMAIN-CONTAINING PROTEIN DDB_G0278031|ALPHA-TOCOPHEROL TRANSFER PROTEIN-LIKE|ALPHA-TOCOPHEROL TRANSFER PROTEIN|CRAL-TRIO DOMAIN-CONTAINING PROTEIN|CRAL-TRIO DOMAIN-CONTAINING PROTEIN-RELATED|RETINOL-BINDING PROTEIN PINTA|RETINALDEHYDE-BINDING PROTEIN 1|CLAVESIN-1|CLAVESIN-2|,Eukaryota,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,22,0,5,5,5,0,0,"11-cis retinal binding|lipid transfer activity|phosphatidylinositol bisphosphate binding|phosphatidylinositol-3,4-bisphosphate binding|phosphatidylinositol-3,5-bisphosphate binding|phosphatidylinositol-4,5-bisphosphate binding|protein binding|retinoid binding|vitamin E binding|vitamin binding",central nervous system development|chordate embryonic development|developmental process|embryonic placenta development|intermembrane lipid transfer|intracellular pH reduction|lysosome organization|negative regulation of cell death|negative regulation of establishment of blood-brain barrier|optokinetic behavior|phototransduction|placenta development|positive regulation of amyloid-beta clearance|response to light stimulus|response to nutrient|response to pH|response to toxic substance|rhodopsin biosynthetic process|vitamin E metabolic process|vitamin transport
PTHR10177,CYCLINS,"G2/MITOTIC-SPECIFIC CYCLIN-B|G2/MITOTIC-SPECIFIC CYCLIN-B1|G2/MITOTIC-SPECIFIC CYCLIN-B2|CYCLIN J, ISOFORM A-RELATED|G2/MITOTIC-SPECIFIC CYCLIN-B3|CYCLIN N-TERMINAL DOMAIN-CONTAINING PROTEIN|G1/S-SPECIFIC CYCLIN-D1|G1/S-SPECIFIC CYCLIN-D2|G1/S-SPECIFIC CYCLIN-D3|CYCLIN-F|AGAP002532-PA|CYCLIN-J-LIKE PROTEIN|CYCLIN-J|G1/S-SPECIFIC CYCLIN-E|G1/S-SPECIFIC CYCLIN-E2|G1/S-SPECIFIC CYCLIN-E1|CYCLIN-O|CYCLIN-P|CYCLIN-A1|CYCLIN-A2|G1/S-SPECIFIC CYCLIN-D|G2/MITOTIC-SPECIFIC CYCLIN-3-RELATED|G1/S-SPECIFIC CYCLIN CLN1-RELATED|G2/MITOTIC-SPECIFIC CYCLIN-1-RELATED|CYCLIN-A1-1|CYCLIN-A1-4|B-LIKE CYCLIN|CYCLIN-A1-2|CYCLIN-B1-1|CYCLIN-B1-3|CYCLIN-B1-5|CYCLIN-B1-4|CYCLIN-B1-2-RELATED|CYCLIN-B2-1|CYCLIN-B3-1-RELATED|CYCLIN-B2-2|G2/MITOTIC-SPECIFIC CYCLIN-2-LIKE|CYCLIN-B2-4|CYCLIN-B2-3-RELATED|CYCLIN-SDS|CYCLIN-J18|CYCLIN-A3-4|CYCLIN-F2-2|SUBFAMILY NOT NAMED|CYCLIN-A3-1-RELATED|CYCLIN-F3-2-RELATED|CYCLIN-A3-2-RELATED|CYCLIN_C DOMAIN-CONTAINING PROTEIN|CYCLIN G|CYCLIN-G2|CYCLIN-I2|CYCLIN-G1|CYCLIN-I|CYCLIN DX|CYCLIN-D4-1|CYCLIN-D3-2|CYCLIN D3,2-RELATED|CYCLIN-D3-3|CYCLIN-D3-1|CYCLIN-D5-3|CYCLIN-D5-1|CYCLIN-D5-2|CYCLIN DOMAIN-CONTAINING PROTEIN|CYCLIN-D4-2|CYCLIN-D2-2|CYCLIN-D2-3-RELATED|CYCLIN-D2-1|CYCLIN-D6-1|CYCLIN-D7-1-RELATED|CYCLIN-D6-1-RELATED|CYCLIN-D1-1|SUPERFAMILY PROTEIN, PUTATIVE-RELATED|CYCLIN A2, CHORDATE-RELATED|CYCLIN-A2-1-RELATED|CYCLIN-A2-3-LIKE|CYCLIN-A2-4|CYCLIN-A2-3|BNAA03G57140D PROTEIN|BNAA09G56610D PROTEIN|BNACNNG16030D PROTEIN|BNAA06G10270D PROTEIN|BNAC06G40620D PROTEIN|",Eukaryota,13,33,28,73,0,69,8,31,26,30,25,79,85,53,32,46,35,36,42,58,28,69,41,4,33,14,48,27,25,17,45,41,43,31,16,30,94,30,63,25,13,21,3,7,0,19,17,16,9,5,ATPase activity|cyclin-dependent protein serine/threonine kinase activator activity|cyclin-dependent protein serine/threonine kinase activity|cyclin-dependent protein serine/threonine kinase regulator activity|enzyme binding|histone deacetylase binding|kinase activity|mannan synthase activity|patched binding|proline-rich region binding|protein binding|protein domain specific binding|protein kinase activity|protein kinase binding|protein phosphatase inhibitor activity|protein-containing complex binding|transcription corepressor activity|transcription factor binding|ubiquitin protein ligase binding|ubiquitin-like protein ligase binding,"DNA endoreduplication|DNA recombination|DNA replication initiation|G1/S transition of mitotic cell cycle|G2/M transition of mitotic cell cycle|G2/MI transition of meiotic cell cycle|Leydig cell differentiation|Ras protein signal transduction|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process|T cell homeostasis|T cell proliferation|Wnt signaling pathway|adult locomotory behavior|animal organ regeneration|anterior/posterior axis specification, embryo|antral ovarian follicle growth|asymmetric cell division|asymmetric neuroblast division|attachment of spindle microtubules to kinetochore|brain development|camera-type eye morphogenesis|cell cycle G1/S phase transition|cell cycle G2/M phase transition|cell division|cell proliferation involved in compound eye morphogenesis|cellular response to DNA damage stimulus|cellular response to X-ray|cellular response to cocaine|cellular response to estradiol stimulus|cellular response to fatty acid|cellular response to hypoxia|cellular response to insulin stimulus|cellular response to insulin-like growth factor stimulus|cellular response to iron(III) ion|cellular response to leptin stimulus|cellular response to luteinizing hormone stimulus|cellular response to nitric oxide|cellular response to nutrient|cellular response to organic cyclic compound|cellular response to organic substance|cellular response to platelet-derived growth factor stimulus|centrosome cycle|chiasma assembly|chromosome organization involved in meiotic cell cycle|cilium assembly|cochlea development|digestive tract development|double-strand break repair|double-strand break repair via homologous recombination|eggshell chorion gene amplification|embryo development ending in birth or egg hatching|embryo development ending in seed dormancy|endoplasmic reticulum unfolded protein response|epithelium development|fat cell differentiation|female meiotic nuclear division|germ cell development|germ-line cyst formation|germarium-derived egg chamber formation|germline cell cycle switching, mitotic to meiotic cell cycle|gonad development|guard mother cell differentiation|hermaphrodite genitalia development|hermaphrodite genitalia morphogenesis|histone H3-S10 phosphorylation involved in chromosome condensation|histone phosphorylation|homologous chromosome segregation|hyaluronan biosynthetic process|in utero embryonic development|kinetochore organization|lactation|lateral root formation|liver development|liver regeneration|long-term memory|male gonad development|male meiotic nuclear division|mammary gland alveolus development|mammary gland epithelial cell proliferation|meiosis II|meiotic DNA repair synthesis|meiotic cell cycle|meiotic nuclear division|meiotic sister chromatid segregation|microsporogenesis|midbody abscission|mismatch repair|mitotic G1 DNA damage checkpoint|mitotic G2 DNA damage checkpoint|mitotic cell cycle|mitotic cell cycle arrest|mitotic cell cycle phase transition|mitotic cell cycle, embryonic|mitotic chromosome movement towards spindle pole|mitotic cytokinesis|mitotic metaphase plate congression|mitotic prophase|mitotic sister chromatid segregation|mitotic spindle organization|multi-ciliated epithelial cell differentiation|negative regulation of G1/S transition of mitotic cell cycle|negative regulation of Notch signaling pathway|negative regulation of apoptotic process|negative regulation of ascospore formation|negative regulation of cell cycle arrest|negative regulation of cell division|negative regulation of centrosome duplication|negative regulation of conjugation with cellular fusion|negative regulation of epithelial cell differentiation|negative regulation of gene expression|negative regulation of meiotic cell cycle|negative regulation of protein dephosphorylation|negative regulation of protein phosphorylation|negative regulation of transcription by RNA polymerase II|negative regulation of ubiquitin protein ligase activity|nematode larval development|neuroblast fate determination|neuroblast proliferation|neuron cellular homeostasis|neuron fate specification|neuronal stem cell population maintenance|oocyte maturation|ovarian follicle development|peripheral nervous system development|placenta development|plant-type primary cell wall biogenesis|pole cell development|positive regulation of DNA endoreduplication|positive regulation of DNA replication|positive regulation of G1/S transition of mitotic cell cycle|positive regulation of G2/M transition of mitotic cell cycle|positive regulation of TORC1 signaling|positive regulation of apoptotic process|positive regulation of asymmetric protein localization involved in cell fate determination|positive regulation of attachment of spindle microtubules to kinetochore|positive regulation of brood size|positive regulation of cardiac muscle cell proliferation|positive regulation of cell cycle|positive regulation of cell differentiation|positive regulation of cell division|positive regulation of cell growth|positive regulation of cell population proliferation|positive regulation of cyclin-dependent protein serine/threonine kinase activity|positive regulation of double-strand break repair via homologous recombination|positive regulation of epithelial cell proliferation|positive regulation of fibroblast proliferation|positive regulation of gene expression|positive regulation of growth|positive regulation of histone phosphorylation|positive regulation of insulin receptor signaling pathway|positive regulation of mRNA 3'-end processing|positive regulation of mammary gland epithelial cell proliferation|positive regulation of mesenchymal stem cell proliferation|positive regulation of mitochondrial ATP synthesis coupled electron transport|positive regulation of mitotic cell cycle|positive regulation of mitotic metaphase/anaphase transition|positive regulation of mitotic sister chromatid biorientation|positive regulation of mitotic spindle pole body separation|positive regulation of protein kinase B signaling|positive regulation of protein localization to centrosome|positive regulation of protein localization to nucleus|positive regulation of protein phosphorylation|positive regulation of receptor signaling pathway via JAK-STAT|positive regulation of stem cell differentiation|positive regulation of stomatal complex development|positive regulation of transcription, DNA-templated|positive regulation of vulval development|post-embryonic development|posttranscriptional regulation of gene expression|premeiotic DNA replication|pronuclear migration|protein phosphorylation|protein ubiquitination|protein-containing complex assembly|re-entry into mitotic cell cycle|re-entry into mitotic cell cycle after pheromone arrest|reciprocal meiotic recombination|regulation of DNA endoreduplication|regulation of DNA replication|regulation of G1/S transition of mitotic cell cycle|regulation of G2/M transition of mitotic cell cycle|regulation of cell cycle|regulation of cell cycle G1/S phase transition|regulation of cell cycle switching, mitotic to meiotic cell cycle|regulation of cell division|regulation of cell growth|regulation of cell population proliferation|regulation of cellular protein localization|regulation of chromatin binding|regulation of chromosome condensation|regulation of cyclin-dependent protein serine/threonine kinase activity|regulation of establishment of blood-brain barrier|regulation of exit from mitosis|regulation of gene silencing by RNA|regulation of growth|regulation of insulin receptor signaling pathway|regulation of leaf morphogenesis|regulation of meiosis I|regulation of meiotic cell cycle|regulation of mitochondrion organization|regulation of mitotic cell cycle spindle assembly checkpoint|regulation of mitotic cell cycle, embryonic|regulation of mitotic nuclear division|regulation of mitotic spindle assembly|regulation of mitotic spindle elongation|regulation of neural retina development|regulation of neuron differentiation|regulation of protein localization to cell cortex|regulation of protein phosphorylation|regulation of protein stability|regulation of transcription involved in G1/S transition of mitotic cell cycle|response to DDT|response to UV-A|response to X-ray|response to brassinosteroid|response to cAMP|response to calcium ion|response to corticosterone|response to cytokine|response to cytokinin|response to drug|response to estradiol|response to estrogen|response to ethanol|response to gamma radiation|response to glucagon|response to glucocorticoid|response to glucose|response to iron ion|response to leptin|response to magnesium ion|response to mechanical stimulus|response to methylmercury|response to organic cyclic compound|response to organic substance|response to organonitrogen compound|response to peptide hormone|response to progesterone|response to purine-containing compound|response to steroid hormone|response to sucrose|response to testosterone|response to toxic substance|response to vitamin E|retina development in camera-type eye|seed development|sensory organ precursor cell division|sex determination|signal transduction|signal transduction involved in G1 cell size control checkpoint|somatic stem cell population maintenance|spermatogenesis|spindle assembly involved in female meiosis I|stomatal complex development|stomatal lineage progression|synapsis|syncytial blastoderm mitotic cell cycle|syncytium formation|telomere maintenance|thymus development|tissue regeneration|traversing start control point of mitotic cell cycle|vacuole fusion, non-autophagic|vacuole organization|ventricular cardiac muscle cell development"
PTHR10182,CALCIUM-BINDING PROTEIN 39-RELATED,"PROTEIN MO25|CALCIUM-BINDING PROTEIN 39-LIKE|CALCIUM-BINDING PROTEIN 39|CALCIUM-BINDING PROTEIN 39,-LIKE 1|MO25-LIKE PROTEIN 2|MO25-LIKE PROTEIN 3|OS07G0585100 PROTEIN|PROTEIN 39, PUTATIVE, EXPRESSED-RELATED|CALCIUM-BINDING PROTEIN|ARMADILLO-LIKE HELICAL, MO25-LIKE PROTEIN-RELATED|PROTEIN, PUTATIVE-RELATED|BNAC07G34260D PROTEIN|BNAC09G21490D PROTEIN|BNAA02G25530D PROTEIN|BNAC09G20270D PROTEIN|HEAT REPEAT FAMILY PROTEIN, EXPRESSED|",Eukaryota,2,4,5,8,0,4,1,3,3,4,2,10,10,6,3,3,6,5,6,5,4,10,4,1,4,4,14,3,4,4,5,4,4,7,3,3,11,4,6,2,3,3,1,1,0,2,2,2,1,1,kinase binding|protein binding|protein kinase activator activity|protein serine/threonine kinase activator activity,"activation of protein kinase activity|asymmetric neuroblast division|budding cell apical bud growth|intracellular signal transduction|peptidyl-serine phosphorylation|positive regulation of peptidyl-threonine phosphorylation|positive regulation of protein serine/threonine kinase activity|protein localization to cell cortex|protein localization to medial cortex|regulation of actin cortical patch localization|regulation of establishment or maintenance of bipolar cell polarity regulating cell shape|regulation of transcription, DNA-templated|response to activity|response to thyroid hormone|septum digestion after cytokinesis|signal transduction by protein phosphorylation"
